Sub ID,Lorax,Lost,Mad Men,Pony,Walking Dead,Weeds,Grand Total
232,2.1,61.2,9.9,3.9,126.8,6.9,210.8
233,3.9,41.85,4.05,3,111.2,5.1,169.1
234,3,45,23.85,3,113.2,9,197.05
235,5.1,54.9,1.8,3,128,3,195.8
236,2.1,58.95,16.2,2.1,125.2,6.9,211.45
237,6,67.95,18,9.9,133.2,6.9,241.95
238,3.9,35.1,1.8,3.9,107.2,2.1,154
239,9,62.1,5.85,3.9,132.8,3.9,217.55
240,2.1,61.2,19.8,5.1,130,6.9,225.1
241,0,70.2,0,0.9,134,2.1,207.2
242,6,67.05,4.05,6,127.2,3,213.3
243,2.1,73.8,18,2.1,133.2,6,235.2
244,6.9,34.2,22.05,3.9,103.2,6.9,177.15
245,3,64.8,13.95,0.9,132.8,6,221.45
246,2.1,67.05,0,0.9,138,2.1,210.15
247,5.1,55.8,13.95,8.1,122,5.1,210.05
248,3.9,48.15,0,6.9,116.8,0.9,176.65
249,3,46.8,13.95,0.9,119.2,6,189.85
250,3.9,31.05,16.2,3.9,102.8,5.1,162.95
251,3.9,32.85,18,5.1,105.2,9,174.05
252,3,23.85,19.8,6,96.8,9,158.45
253,2.1,62.1,0,3,128.8,5.1,201.1
254,3,66.15,27.9,5.1,126,9.9,238.05
255,5.1,73.8,1.8,3.9,140.8,2.1,227.5
256,0.9,64.8,18,3,127.2,5.1,219
257,6,41.85,34.2,6.9,112,12,212.95
258,3.9,59.85,22.05,6,128,6.9,226.7
259,5.1,59.85,0,5.1,128.8,2.1,200.95
260,3,59.85,36,5.1,126.8,14.1,244.85
261,3.9,44.1,30.15,5.1,115.2,9.9,208.35
262,6,36.9,16.2,5.1,106.8,6,177
263,3.9,30.15,36,5.1,98,11.1,184.25
264,3.9,79.2,16.2,3,143.2,6,251.5
265,0.9,50.85,5.85,0.9,120,3.9,182.4
266,3.9,54.9,0,8.1,127.2,2.1,196.2
267,6,55.8,4.05,5.1,125.2,2.1,198.25
268,6.9,49.05,0,3,120.8,2.1,181.85
269,5.1,49.95,13.95,3,116.8,6.9,195.7
270,2.1,61.2,4.05,3,134.8,3.9,209.05
271,9.9,63,5.85,5.1,129.2,3.9,216.95
272,2.1,84.15,0,3,146.8,3.9,239.95
273,2.1,55.8,9.9,3,121.2,3,195
274,2.1,59.85,0,0.9,128,3,193.85
275,2.1,61.2,27.9,2.1,120,9,222.3
276,3,67.95,4.05,5.1,134,0.9,215
277,3,58.05,9.9,2.1,122,5.1,200.15
278,3.9,53.1,13.95,2.1,118.8,5.1,196.95
279,3.9,57.15,16.2,6.9,122,5.1,211.25
280,5.1,59.85,0,6,134,3,207.95
281,0.9,43.2,1.8,3,110.8,2.1,161.8
282,3.9,59.85,0,6,126,2.1,197.85
283,2.1,72,19.8,5.1,133.2,6.9,239.1
284,6.9,49.05,49.95,6,116,17.1,245
285,3,31.95,30.15,2.1,104.8,11.1,183.1
286,0.9,63,18,3,129.2,5.1,219.2
287,5.1,31.95,30.15,2.1,105.2,11.1,185.6
288,3.9,48.15,0,5.1,118,2.1,177.25
289,6.9,76.95,16.2,6,135.2,8.1,249.35
290,6,53.1,22.05,3.9,117.2,12.9,215.15
291,2.1,44.1,5.85,2.1,117.2,5.1,176.45
292,5.1,57.15,1.8,3,124,2.1,193.15
293,3.9,58.95,16.2,6,124.8,6.9,216.75
294,0.9,48.15,26.1,3,118.8,11.1,208.05
295,0.9,48.15,13.95,2.1,118.8,3.9,187.8
296,3.9,48.15,22.05,3,117.2,11.1,205.4
297,5.1,55.8,12.15,3.9,122.8,3.9,203.65
298,3.9,72.9,13.95,3,132,6,231.75
299,3.9,53.1,12.15,3.9,117.2,5.1,195.35
300,5.1,52.2,0,6,122.8,3,189.1
301,5.1,73.8,12.15,8.1,130.8,6.9,236.85
302,3,58.05,9.9,3,126,3.9,203.85
303,6.9,45.9,5.85,6.9,110.8,6.9,183.25
304,5.1,72,16.2,3,139.2,6.9,242.4
305,3.9,40.95,0,6.9,117.2,3,171.95
306,3.9,54.9,12.15,5.1,126,8.1,210.15
307,3,48.15,8.1,3,120,2.1,184.35
308,3,64.8,13.95,3,132,3.9,220.65
309,2.1,73.8,19.8,0.9,136.8,9,242.4
310,8.1,64.8,16.2,6,128.8,8.1,232
311,5.1,40.95,0,3.9,110.8,0.9,161.65
312,5.1,58.05,13.95,6,120.8,5.1,209
313,3.9,52.2,16.2,5.1,116,6.9,200.3
314,2.1,44.1,0,3,109.2,3.9,162.3
315,5.1,49.95,4.05,8.1,120,0.9,188.1
316,6,58.05,5.85,6,125.2,3,204.1
317,3,59.85,27.9,6,120,8.1,224.85
318,2.1,58.05,0,2.1,128,3,193.25
319,5.1,57.15,0,5.1,126,3.9,197.25
320,5.1,43.2,4.05,6.9,112.8,0.9,172.95
321,0.9,63.9,8.1,3,128.8,3,207.7
322,3,54,0,2.1,124,0,183.1
323,3,61.2,12.15,6,124,6,212.35
324,5.1,41.85,4.05,3.9,111.2,2.1,168.2
325,5.1,49.05,0,3.9,117.2,3,178.25
326,3,54,12.15,5.1,124,6,204.25
327,3,10.8,37.8,5.1,86,14.1,156.8
328,6,41.85,19.8,5.1,112.8,6.9,192.45
329,5.1,71.1,5.85,2.1,135.2,6,225.35
330,3.9,52.2,12.15,3.9,120.8,6,198.95
331,2.1,46.8,5.85,3,120.8,6,184.55
332,3.9,52.2,12.15,3.9,124.8,6,202.95
333,5.1,64.8,13.95,3.9,129.2,6.9,223.85
334,6.9,59.85,13.95,8.1,128,8.1,224.9
335,5.1,45.9,0,8.1,117.2,2.1,178.4
336,6,40.05,23.85,9.9,111.2,9.9,200.9
337,3.9,49.05,13.95,3,122,6,197.9
338,6.9,52.2,23.85,3.9,120,6.9,213.75
339,2.1,77.85,9.9,3.9,144,6.9,244.65
340,8.1,54.9,0,6,120,0.9,189.9
341,3,27.9,4.05,0.9,106,6,147.85
342,0.9,57.15,0,0,125.2,3.9,187.15
343,3,49.95,18,3.9,120.8,9,204.65
344,5.1,66.15,18,8.1,132,9.9,239.25
345,3,40.05,16.2,5.1,106.8,6.9,178.05
346,3,58.05,19.8,5.1,122,8.1,216.05
347,6,61.2,0,3.9,128,3,202.1
348,0.9,61.2,12.15,3,132.8,8.1,218.15
349,3,53.1,13.95,3,119.2,6.9,199.15
350,3.9,44.1,12.15,2.1,117.2,5.1,184.55
351,5.1,46.8,22.05,3,114.8,8.1,199.85
352,3,58.95,18,3,120.8,6.9,210.65
353,0.9,44.1,9.9,3,114,6,177.9
354,3.9,62.1,12.15,6,126.8,6,216.95
355,3.9,66.15,34.2,3.9,125.2,11.1,244.45
356,3,36,30.15,2.1,104.8,11.1,187.15
357,5.1,63.9,4.05,6,128.8,0.9,208.75
358,3.9,58.05,9.9,5.1,128,3,207.95
359,6,59.85,4.05,6.9,127.2,2.1,206.1
360,9,52.2,12.15,6,122.8,6,208.15
361,6,59.85,0,6,129.2,0.9,201.95
362,0,36.9,5.85,0.9,110.8,5.1,159.55
363,3.9,45.9,18,2.1,118,9,196.9
364,5.1,52.2,22.05,6.9,121.2,6.9,214.35
365,3,57.15,13.95,2.1,120.8,5.1,202.1
366,3,46.8,9.9,2.1,117.2,3.9,182.9
367,2.1,49.95,13.95,3,119.2,3.9,192.1
368,6.9,55.8,18,6,121.2,8.1,216
369,3.9,49.95,0,3.9,122.8,3,183.55
370,5.1,41.85,1.8,2.1,110,2.1,162.95
371,6,76.95,0,5.1,140,0,228.05
372,3.9,46.8,13.95,3,120.8,8.1,196.55
373,3.9,77.85,12.15,6,138.8,3.9,242.6
374,5.1,59.85,30.15,3.9,122,12,233
375,3.9,53.1,0,3.9,120,3,183.9
376,2.1,40.95,19.8,5.1,112.8,6.9,187.65
377,2.1,63.9,0,2.1,128,3,199.1
378,3.9,61.2,30.15,6,124.8,12,238.05
379,3,49.05,0,5.1,116,2.1,175.25
380,5.1,27,31.95,6.9,97.2,12,180.15
381,5.1,59.85,0,6.9,131.2,2.1,205.15
382,3,40.05,18,5.1,110.8,6.9,183.85
383,2.1,45,22.05,3,114.8,6.9,193.85
384,0.9,62.1,12.15,2.1,130,6,213.25
385,2.1,48.15,0,3,120,0.9,174.15
386,2.1,49.95,12.15,5.1,118,6,193.3
387,2.1,66.15,13.95,0.9,134,6,223.1
388,5.1,41.85,27.9,8.1,110.8,9.9,203.65
389,3,45.9,26.1,6.9,116.8,12,210.7
390,3,49.05,4.05,3,117.2,2.1,178.4
391,2.1,35.1,5.85,3.9,106.8,2.1,155.85
392,0.9,28.8,22.05,0.9,98.8,9,160.45
393,3,45.9,0,3.9,116.8,0,169.6
394,3.9,58.95,16.2,6.9,128,11.1,225.05
395,3.9,55.8,0,2.1,118.8,0.9,181.5
396,5.1,59.85,0,3,130.8,0,198.75
397,3.9,46.8,18,5.1,114,6,193.8
398,0.9,54,16.2,3,122,8.1,204.2
399,3.9,67.05,1.8,3,134.8,3.9,214.45
400,3.9,57.15,8.1,3.9,125.2,3,201.25
401,6.9,52.2,13.95,9.9,116.8,5.1,204.85
402,3,67.05,26.1,6,126.8,11.1,240.05
403,6.9,55.8,18,8.1,128.8,9.9,227.5
404,6,36,1.8,2.1,108,2.1,156
405,3,45,0,3,114.8,3,168.8
406,2.1,58.95,1.8,3,126.8,3.9,196.55
407,5.1,21.15,4.05,8.1,97.2,2.1,137.7
408,0.9,36,13.95,3,110.8,6.9,171.55
409,3,49.05,5.85,5.1,118,3,184
410,3.9,66.15,23.85,0.9,130.8,8.1,233.7
411,3,58.05,0,3.9,129.2,0.9,195.05
412,2.1,63,0,0.9,132,0.9,198.9
413,2.1,67.95,0,3,136.8,0.9,210.75
414,5.1,36,4.05,8.1,104,2.1,159.35
415,2.1,67.05,1.8,0.9,131.2,2.1,205.15
416,3,44.1,30.15,5.1,107.2,11.1,200.65
417,6,50.85,4.05,2.1,124.8,3,190.8
418,2.1,46.8,1.8,2.1,120,2.1,174.9
419,3.9,36.9,36,6.9,108.8,14.1,206.6
420,6,25.2,31.95,6,94.8,12,175.95
421,5.1,31.05,16.2,6.9,107.2,6,172.45
422,5.1,49.05,5.85,3.9,121.2,3.9,189
423,3.9,63,19.8,6.9,128.8,8.1,230.5
424,3,37.8,0,5.1,110.8,3,159.7
425,3.9,48.15,26.1,5.1,117.2,9.9,210.35
426,0.9,71.1,0,0.9,135.2,3,211.1
427,5.1,64.8,5.85,3,135.2,5.1,219.05
428,5.1,45,5.85,6,113.2,3.9,179.05
429,6.9,49.95,5.85,6,116.8,3,188.5
430,6,80.1,12.15,3.9,142.8,6,250.95
431,3.9,58.05,19.8,6.9,128,9.9,226.55
432,2.1,49.95,0,3.9,124,0.9,180.85
433,3,50.85,22.05,3.9,120,8.1,207.9
434,5.1,62.1,9.9,3,125.2,5.1,210.4
435,0.9,54.9,8.1,2.1,120.8,2.1,188.9
436,6,53.1,9.9,3,118,6.9,196.9
437,3.9,39.15,37.8,3.9,105.2,14.1,204.05
438,2.1,48.15,13.95,3,114.8,6,188
439,3,49.05,45.9,3.9,113.2,17.1,232.15
440,3.9,63,19.8,3.9,129.2,8.1,227.9
441,2.1,44.1,13.95,3,118,6.9,188.05
442,3,43.2,22.05,2.1,110,8.1,188.45
443,6,49.95,22.05,3,118.8,6.9,206.7
444,3.9,52.2,4.05,3.9,114,2.1,180.15
445,3,36,5.85,3.9,109.2,3.9,161.85
446,2.1,68.85,16.2,3,135.2,5.1,230.45
447,3,55.8,9.9,3,124.8,9,205.5
448,0.9,63.9,1.8,3,129.2,2.1,200.9
449,6.9,52.2,9.9,3,112,3,187
450,6.9,52.2,9.9,3.9,126,5.1,204
451,2.1,63,22.05,3,130,9,229.15
452,3,94.05,5.85,6,153.2,3,265.1
453,3.9,64.8,8.1,2.1,133.2,3,215.1
454,6.9,49.05,30.15,6,120,11.1,223.2
455,5.1,80.1,18,2.1,147.2,6.9,259.4
456,3.9,43.2,5.85,2.1,111.2,5.1,171.35
457,5.1,49.95,16.2,3.9,114.8,6.9,196.85
458,5.1,36,0,5.1,113.2,5.1,164.5
459,0,39.15,22.05,0.9,108.8,9,179.9
460,3.9,40.95,26.1,5.1,110,9,195.05
461,5.1,61.2,5.85,3,128.8,6,209.95
462,6,45,8.1,8.1,113.2,3,183.4
463,0.9,48.15,22.05,2.1,114.8,6.9,194.9
464,3,31.95,5.85,6,104.8,5.1,156.7
465,9.9,49.95,18,5.1,117.2,6,206.15
466,0,43.2,31.95,0,114.8,11.1,201.05
467,3,54,22.05,3,116,9,207.05
468,2.1,64.8,9.9,2.1,127.2,5.1,211.2
469,3.9,58.95,1.8,5.1,130,3.9,203.65
470,3,71.1,16.2,5.1,128,6,229.4
471,5.1,81.9,0,3.9,144,3.9,238.8
472,0.9,45.9,9.9,0.9,114.8,6.9,179.3
473,3.9,68.85,0,6,130.8,2.1,211.65
474,3.9,32.85,27.9,5.1,103.2,9,181.95
475,2.1,31.05,27.9,3,100.8,9,173.85
476,3.9,70.2,8.1,5.1,136.8,3,227.1
477,2.1,45,9.9,3,117.2,3.9,181.1
478,0.9,57.15,5.85,2.1,126.8,6.9,199.7
479,5.1,68.85,30.15,3.9,130.8,9,247.8
480,0.9,58.05,30.15,0.9,122,12.9,224.9
481,2.1,45,9.9,0,114,5.1,176.1
482,0.9,52.2,23.85,3,122,8.1,210.05
483,3.9,62.1,4.05,2.1,131.2,3,206.35
484,5.1,43.2,23.85,2.1,115.2,9,198.45
485,3,30.15,0,3,106.8,5.1,148.05
486,3,31.95,0,5.1,104.8,2.1,146.95
487,5.1,53.1,5.85,3.9,126.8,3,197.75
488,3,43.2,26.1,3,112.8,9,197.1
489,0.9,61.2,8.1,0.9,124,3.9,199
490,2.1,49.95,9.9,3,118.8,6.9,190.65
491,6,53.1,23.85,2.1,118.8,8.1,211.95
492,3.9,62.1,0,3.9,124.8,3.9,198.6
493,5.1,35.1,1.8,8.1,108.8,0,158.9
494,3.9,55.8,36,2.1,120,14.1,231.9
495,3.9,50.85,13.95,3.9,119.2,6,197.8
496,5.1,40.05,13.95,6,112,6.9,184
497,3.9,57.15,12.15,5.1,125.2,6.9,210.4
498,3.9,25.2,0,3,101.2,0.9,134.2
499,3.9,49.95,26.1,3.9,115.2,8.1,207.15
500,6,67.05,1.8,5.1,136.8,3,219.75
501,3.9,48.15,4.05,6,117.2,0.9,180.2
502,5.1,54,0,5.1,120,0.9,185.1
503,6.9,49.05,34.2,5.1,115.2,9.9,220.35
504,5.1,57.15,23.85,3,118.8,8.1,216
505,5.1,54.9,27.9,6,123.2,9.9,227
506,2.1,28.8,30.15,2.1,100.8,11.1,175.05
507,2.1,62.1,22.05,3,125.2,8.1,222.55
508,2.1,48.15,23.85,3.9,114,8.1,200.1
509,3,44.1,1.8,5.1,118,2.1,174.1
510,3.9,70.2,23.85,6,130.8,8.1,242.85
511,2.1,53.1,18,3,118.8,8.1,203.1
512,5.1,40.05,4.05,6.9,108.8,3,167.9
513,3,75.15,0,3,132.8,0,213.95
514,2.1,41.85,0,3,116.8,3.9,167.65
515,3.9,67.05,16.2,3.9,129.2,6.9,227.15
516,6,40.05,12.15,3,109.2,3.9,174.3
517,3.9,31.95,0,3,106.8,2.1,147.75
518,3.9,45.9,0,5.1,119.2,0.9,175
519,3,43.2,1.8,3,112.8,2.1,165.9
520,5.1,48.15,26.1,3.9,112,8.1,203.35
521,5.1,45.9,31.95,5.1,109.2,9.9,207.15
522,3.9,63.9,19.8,3,134.8,8.1,233.5
523,3.9,31.05,9.9,3.9,99.2,6.9,154.85
